faixa,bloco_validacao,quadro,temperatura,intensidade,calibracao,limiar,fator,classe,fracao_excluida,delta_e00
0,0,600,3200,0.4,sem,24.0,0.5,azul,0.904422253923,34.8564641426
0,0,600,3200,0.4,sem,24.0,0.5,vermelho,0.013698630137,12.6665149701
0,0,600,3200,0.4,campo,24.0,0.5,amarelo,0.0,0.337409221268
0,0,600,3200,0.4,campo,24.0,0.5,azul,0.904422253923,0.283082007499
0,0,600,3200,0.4,campo,24.0,0.5,vermelho,0.013698630137,0.209683400988
0,0,600,3200,1.0,sem,24.0,0.5,amarelo,1.0,
0,0,600,3200,1.0,sem,24.0,0.5,azul,0.904422253923,28.7735135865
0,0,600,3200,1.0,sem,24.0,0.5,vermelho,0.986301369863,15.2809906819
0,0,600,3200,1.0,campo,24.0,0.5,amarelo,1.0,
0,0,600,3200,1.0,campo,24.0,0.5,azul,0.904422253923,0.85286190846
0,0,600,3200,1.0,campo,24.0,0.5,vermelho,0.986301369863,0.993740447202
0,0,600,3200,1.5,sem,24.0,0.5,amarelo,1.0,
0,0,600,3200,1.5,sem,24.0,0.5,azul,0.904422253923,30.4412613806
0,0,600,3200,1.5,sem,24.0,0.5,vermelho,1.0,
0,0,600,3200,1.5,campo,24.0,0.5,amarelo,1.0,
0,0,600,3200,1.5,campo,24.0,0.5,azul,0.904422253923,3.86825452297
0,0,600,3200,1.5,campo,24.0,0.5,vermelho,1.0,
0,0,600,3800,0.4,sem,24.0,0.5,amarelo,0.0,20.545838736
0,0,600,3800,0.4,sem,24.0,0.5,azul,0.904422253923,28.4862048506
0,0,600,3800,0.4,sem,24.0,0.5,vermelho,0.013698630137,13.8192016367
0,0,600,3800,0.4,campo,24.0,0.5,amarelo,0.0,0.271519527795
0,0,600,3800,0.4,campo,24.0,0.5,azul,0.904422253923,0.277821004589
0,0,600,3800,0.4,campo,24.0,0.5,vermelho,0.013698630137,0.212020433291
0,0,600,3800,1.0,sem,24.0,0.5,amarelo,0.989389920424,12.7496027246
0,0,600,3800,1.0,sem,24.0,0.5,azul,0.904422253923,18.6800419747
0,0,600,3800,1.0,sem,24.0,0.5,vermelho,0.958904109589,11.9277557262
0,0,600,3800,1.0,campo,24.0,0.5,amarelo,0.989389920424,0.0980076323752
0,0,600,3800,1.0,campo,24.0,0.5,azul,0.904422253923,0.126920671356
0,0,600,3800,1.0,campo,24.0,0.5,vermelho,0.958904109589,0.22127777236
0,0,600,3800,1.5,sem,24.0,0.5,amarelo,1.0,
0,0,600,3800,1.5,sem,24.0,0.5,azul,0.904422253923,20.1202182086
